talo,ház
kissa,macska
koira,kutya
kärpänen,légy
hevonen,ló
juna,vonat
vene,hajó
lentokone,repülőgép
kuusi,hat
seitsemän,hét
kahdeksan,nyolc
yhdeksän,kilenc
kaksikymmentä,húsz
ikkuna,ablak
tuoli,szék
pöytä,asztal
ovi,ajtó
lattia,padló
seinä,fal
milloin,mikor
sänky,ágy
matto,szőnyeg
lämpöpatteri,radiátor
lamppu,lámpa
valo,fény
sana,szó
lause,mondat
sanoa,mondani
musiikki,zene
elokuvateatteri,mozi
pohjoinen,észak
itä,kelet
etelä,dél
länsi,nyugat
ilmansuunta,égtáj
taivas,ég
maisema,táj
lyödä,ütni
kaupunki,város
nähdä,látni
mennä,menni
tulla,jönni
haluta,akarni
juosta,futni
syödä,enni
jouda,inni
maalata,festeni
ryypätä,piálni
ampua,lőni
viini,bor
olut,sör
vesi,víz
puu,fa
punainen,piros|vörös
sininen,kék
vihreä,zöld
maa(aines),föld
keltainen,sárga
oranssi,naracs
liila,lila
musta,fekete
valkoinen,fehér
väri,szín
ja,és
veri,vér
maa(valtio),ország
tie,út
nukkua,aludni
tyyny,párna
lintu,madár
lentää,repülni
tietää,tudni
imuri,porszívó
Suomi,Finnország
Unkari,Magyarország
kieli,nyelv
siivota,takarítani
tiskata,mosogatni
ruokailuväline,evőeszköz
minä,én
sinä,te
hän,ő
me,mi
te,ti
he,ők
elää,él
asua,lakni
kysyä,kérdezni
olla,lenni
nauraa,nevetni
puhua,beszélni
kertoa,elmondani
lapioida,lapátolni
kaivaa (lapiolla),ásni
lapio,asó|lapát
lumi,hó
jää,jég
nainen,nő
mies,férfi
poika,fiú
tyttö,lány
äiti,anya
pelata,játszani
soitin,hangszer
kuulla,hallani
kuolla,(meg)halni
kala,hall
hiiri,egér
kuvitella,elképzelni
opettaja,tanar
oppia,tanulni
opetella,tanulgatni
ajatella,gondolni
sata,száz
tuhat,ezer
tunti|kello,óra
huomenna,holnap
eilen,tegnap
jutella,csevegni
keskustella,beszélgetni
nousta,felkelni
kuu,hold
päivä|aurinko,nap
yö,éj|éjszaka
aamu,reggel
ilta,este
kävellä,sétálni
keskiyö,éjfél
puoli,fél
moi,szia
työntekijä,munkas
myymälä,bolt
kaupata,üszletelni
kauppa,üszlet
koulu,iskola
oppilas,diák
sotilas,katona
ase,fegyvér
elin,szerv
iso,nagy
korkea,magas
numero,szám
puhelin,telefon
ei ole,nincs
pieni,kicsi
lyhyt,rövid
pitkä,hosszú
matala,alacsony
hyvä,jó
hyvin,jól
keskimmäinen,közepes
keski,közép
